filename,plate_text
Datacluster_number_plates (49)_plate0.jpg,MH20BC5122
Datacluster_number_plates (4)_plate0.jpg,BR09V7267
Datacluster_number_plates (86)_plate0.jpg,KL64H7345
Datacluster_number_plates (62)_plate0.jpg,MP07GA1533
Datacluster_number_plates (1)_plate0.jpg,AP29AN0074
Datacluster_number_plates (53)_plate0.jpg,KA38M1674
Datacluster_number_plates (80)_plate0.jpg,AP28BW9994
Datacluster_number_plates (101)_plate0.jpg,MP42MG2246
Datacluster_number_plates (64)_plate0.jpg,KL04AL7703
Datacluster_number_plates (90)_plate0.jpg,MP17MQ4136
Datacluster_number_plates (16)_plate0.jpg,UP64W4388
Datacluster_number_plates (73)_plate0.jpg,KL02BM4659
Datacluster_number_plates (70)_plate0.jpg,MP07HB8260
Datacluster_number_plates (5)_plate0.jpg,BR07AB1993
